,time,case_by_time,recovered_by_time,death_by_time
0,01/12/2020,1351,1195,35
1,02/12/2020,1358,1201,35
2,03/12/2020,1361,1209,35
3,04/12/2020,1361,1220,35
4,05/12/2020,1365,1220,35
5,06/12/2020,1366,1220,35
6,07/12/2020,1367,1224,35
7,08/12/2020,1377,1224,35
8,09/12/2020,1381,1225,35
9,10/12/2020,1385,1225,35
10,11/12/2020,1391,1238,35
11,12/12/2020,1395,1238,35
12,13/12/2020,1397,1241,35
13,14/12/2020,1402,1246,35
14,15/12/2020,1405,1252,35
15,16/12/2020,1405,1252,35
16,17/12/2020,1407,1263,35
17,18/12/2020,1410,1266,35
18,19/12/2020,1411,1269,35
19,20/12/2020,1413,1269,35
20,21/12/2020,1414,1269,35
21,22/12/2020,1420,1281,35
22,23/12/2020,1421,1281,35
23,24/12/2020,1432,1281,35
24,25/12/2020,1439,1303,35
25,26/12/2020,1440,1303,35
26,27/12/2020,1441,1303,35
27,28/12/2020,1451,1318,35
28,29/12/2020,1454,1319,35
29,30/12/2020,1456,1323,35
30,31/12/2020,1465,1325,35
31,01/01/2021,1474,1325,35
32,02/01/2021,1482,1337,35
33,03/01/2021,1494,1339,35
34,04/01/2021,1497,1339,35
35,05/01/2021,1504,1339,35
36,06/01/2021,1505,1353,35
37,07/01/2021,1509,1353,35
38,08/01/2021,1512,1357,35
39,09/01/2021,1513,1361,35
40,10/01/2021,1514,1361,35
41,11/01/2021,1515,1361,35
42,12/01/2021,1520,1361,35
43,13/01/2021,1521,1369,35
44,14/01/2021,1531,1369,35
45,15/01/2021,1536,1380,35
46,16/01/2021,1537,1380,35
47,17/01/2021,1537,1380,35
48,18/01/2021,1539,1402,35
49,19/01/2021,1540,1402,35
50,20/01/2021,1544,1406,35
51,21/01/2021,1546,1411,35
52,22/01/2021,1548,1411,35
53,23/01/2021,1548,1411,35
54,24/01/2021,1548,1411,35
55,25/01/2021,1549,1425,35
56,26/01/2021,1551,1430,35
57,27/01/2021,1551,1430,35
58,28/01/2021,1560,1430,35
59,29/01/2021,1657,1448,35
60,30/01/2021,1767,1456,35
61,31/01/2021,1817,1457,35
62,01/02/2021,1850,1460,35
63,02/02/2021,1882,1460,35
64,03/02/2021,1911,1461,35
65,04/02/2021,1957,1465,35
66,05/02/2021,1976,1465,35
67,06/02/2021,1981,1468,35
68,07/02/2021,2001,1472,35
69,08/02/2021,2050,1472,35
70,09/02/2021,2069,1474,35
71,10/02/2021,2091,1480,35
72,11/02/2021,2140,1528,35
73,12/02/2021,2142,1529,35
74,13/02/2021,2195,1529,35
75,14/02/2021,2228,1532,35
76,15/02/2021,2269,1546,35
77,16/02/2021,2311,1573,35
78,17/02/2021,2329,1580,35
79,18/02/2021,2347,1605,35
80,19/02/2021,2362,1627,35
81,20/02/2021,2368,1627,35
82,21/02/2021,2383,1717,35
83,22/02/2021,2392,1717,35
84,23/02/2021,2401,1717,35
85,24/02/2021,2412,1790,35
86,25/02/2021,2420,1804,35
87,26/02/2021,2426,1839,35
88,27/02/2021,2432,1844,35
89,28/02/2021,2448,1876,35
90,01/03/2021,2461,1892,35
91,02/03/2021,2472,1898,35
92,03/03/2021,2482,1898,35
93,04/03/2021,2488,1920,35
94,05/03/2021,2494,1920,35
95,06/03/2021,2507,1920,35
96,07/03/2021,2512,1920,35
97,08/03/2021,2524,1920,35
98,09/03/2021,2526,2004,35
99,10/03/2021,2529,2004,35
100,11/03/2021,2533,2048,35
101,12/03/2021,2550,2086,35
102,13/03/2021,2553,2086,35
103,14/03/2021,2554,2086,35
104,15/03/2021,2557,2115,35
105,16/03/2021,2560,2158,35
106,17/03/2021,2567,2198,35
107,18/03/2021,2570,2198,35
108,19/03/2021,2571,2198,35
109,20/03/2021,2572,2198,35
110,21/03/2021,2572,2198,35
111,22/03/2021,2575,2233,35
112,23/03/2021,2576,2246,35
113,24/03/2021,2576,2265,35
114,25/03/2021,2579,2265,35
115,26/03/2021,2586,2265,35
116,27/03/2021,2586,2308,35
117,28/03/2021,2591,2308,35
118,29/03/2021,2594,2308,35
119,30/03/2021,2594,2359,35
120,31/03/2021,2603,2359,35
121,01/04/2021,2617,2359,35
122,02/04/2021,2620,2383,35
123,03/04/2021,2626,2383,35
124,04/04/2021,2631,2383,35
125,05/04/2021,2637,2416,35
126,06/04/2021,2648,2422,35
127,07/04/2021,2659,2429,35
128,08/04/2021,2668,2429,35
129,09/04/2021,2683,2429,35
130,10/04/2021,2692,2429,35
131,11/04/2021,2693,2429,35
132,12/04/2021,2705,2445,35
133,13/04/2021,2714,2445,35
134,14/04/2021,2733,2445,35
135,15/04/2021,2758,2445,35
136,16/04/2021,2772,2475,35
137,17/04/2021,2781,2475,35
138,18/04/2021,2784,2475,35
139,19/04/2021,2791,2475,35
